"id","name","fifa_code","confederation","is_playable","fifa_rank","strength_tier","overall_rating","shooting_rating","reaction_rating"
"46","Congo DR","COD","CAF","true","46","2","85","84","82"
"47","Slovakia","SVK","UEFA","true","47","2","85","84","82"
"48","Greece","GRE","UEFA","true","48","2","84","84","82"
"49","Venezuela","VEN","CONMEBOL","true","49","2","84","84","82"
"50","Uzbekistan","UZB","AFC","true","50","2","84","84","82"
"51","Chile","CHI","CONMEBOL","true","51","3","84","83","82"
"52","Peru","PER","CONMEBOL","true","52","3","84","83","82"
"53","Costa Rica","CRC","CONCACAF","true","53","3","84","83","81"
"54","Romania","ROU","UEFA","true","54","3","83","83","81"
"55","Mali","MLI","CAF","true","55","3","83","83","81"
"56","Qatar","QAT","AFC","true","56","3","83","83","81"
"57","Iraq","IRQ","AFC","true","57","3","83","82","81"
"58","Republic of Ireland","IRL","UEFA","true","58","3","83","82","80"
"59","Slovenia","SVN","UEFA","true","59","3","83","82","80"
"60","South Africa","RSA","CAF","true","60","3","82","82","80"
"61","Saudi Arabia","KSA","AFC","true","61","3","82","82","80"
"62","Burkina Faso","BFA","CAF","true","62","3","82","82","80"
"63","Jordan","JOR","AFC","true","63","3","82","81","80"
"64","Bosnia and Herzegovina","BIH","UEFA","true","64","3","82","81","80"
"65","Honduras","HON","CONCACAF","true","65","3","82","81","79"
"66","Albania","ALB","UEFA","true","66","3","81","81","79"
"67","Cabo Verde","CPV","CAF","true","67","3","81","81","79"
"68","United Arab Emirates","UAE","AFC","true","68","3","81","81","79"
"69","North Macedonia","MKD","UEFA","true","69","3","81","80","79"
"70","Northern Ireland","NIR","UEFA","true","70","3","81","80","78"
"71","Jamaica","JAM","CONCACAF","true","71","3","81","80","78"
"72","Georgia","GEO","UEFA","true","72","3","81","80","78"
"73","Ghana","GHA","CAF","true","73","3","80","80","78"
"74","Iceland","ISL","UEFA","true","74","3","80","79","78"
"75","Finland","FIN","UEFA","true","75","3","80","79","78"
"76","Israel","ISR","UEFA","true","76","3","80","79","78"
"77","Bolivia","BOL","CONMEBOL","true","77","3","80","79","77"
"78","Kosovo","KOS","UEFA","true","78","3","80","79","77"
"79","Oman","OMA","AFC","true","79","3","79","79","77"
"80","Montenegro","MNE","UEFA","true","80","3","79","78","77"
"81","Guinea","GUI","CAF","true","81","3","79","78","77"
"82","Curaçao","CUW","CONCACAF","true","82","3","79","78","76"
"83","Haiti","HAI","CONCACAF","true","83","3","79","78","76"
"84","Syria","SYR","AFC","true","84","3","79","78","76"
"85","New Zealand","NZL","OFC","true","85","3","78","78","76"
"86","Gabon","GAB","CAF","true","86","3","78","77","76"
"87","Bulgaria","BUL","UEFA","true","87","3","78","77","76"
"88","Angola","ANG","CAF","true","88","3","78","77","76"
"89","Uganda","UGA","CAF","true","89","3","78","77","75"
"90","Zambia","ZAM","CAF","true","90","3","78","77","75"
"91","China PR","CHN","AFC","true","91","3","77","77","75"
"92","Bahrain","BHR","AFC","true","92","3","77","76","75"
"93","Benin","BEN","CAF","true","93","3","77","76","75"
"94","Thailand","THA","AFC","true","94","3","77","76","74"
"95","Palestine","PLE","AFC","true","95","3","77","76","74"
"96","Belarus","BLR","UEFA","true","96","3","77","76","74"
"97","Guatemala","GUA","CONCACAF","true","97","3","76","76","74"
"98","Luxembourg","LUX","UEFA","true","98","3","76","75","74"
"99","Vietnam","VIE","AFC","true","99","3","76","75","74"
"100","El Salvador","SLV","CONCACAF","true","100","3","76","75","74"
"101","Tajikistan","TJK","AFC","true","101","4","76","75","73"
"102","Trinidad and Tobago","TRI","CONCACAF","true","102","4","76","75","73"
"103","Mozambique","MOZ","CAF","true","103","4","75","75","73"
"104","Madagascar","MAD","CAF","true","104","4","75","74","73"
"105","Equatorial Guinea","EQG","CAF","true","105","4","75","74","73"
"106","Kyrgyz Republic","KGZ","AFC","true","106","4","75","74","72"
"107","Armenia","ARM","UEFA","true","107","4","75","74","72"
"108","Comoros","COM","CAF","true","108","4","75","74","72"
"109","Kenya","KEN","CAF","true","109","4","75","73","72"
"110","Libya","LBY","CAF","true","110","4","74","73","72"
"111","Kazakhstan","KAZ","UEFA","true","111","4","74","73","72"
"112","Tanzania","TAN","CAF","true","112","4","74","73","72"
"113","Mauritania","MTN","CAF","true","113","4","74","73","71"
"114","Niger","NIG","CAF","true","114","4","74","73","71"
"115","Lebanon","LBN","AFC","true","115","4","74","72","71"
"116","The Gambia","GAM","CAF","true","116","4","73","72","71"
"117","Sudan","SDN","CAF","true","117","4","73","72","71"
"118","Indonesia","IDN","AFC","true","118","4","73","72","70"
"119","Togo","TOG","CAF","true","119","4","73","72","70"
"120","DPR Korea","PRK","AFC","true","120","4","73","72","70"
"121","Namibia","NAM","CAF","true","121","4","73","71","70"
"122","Sierra Leone","SLE","CAF","true","122","4","72","71","70"
"123","Faroe Islands","FRO","UEFA","true","123","4","72","71","70"
"124","Cyprus","CYP","UEFA","true","124","4","72","71","70"
"125","Suriname","SUR","CONCACAF","true","125","4","72","71","69"
"126","Azerbaijan","AZE","UEFA","true","126","4","72","71","69"
"127","Estonia","EST","UEFA","true","127","4","72","70","69"
"128","Rwanda","RWA","CAF","true","128","4","71","70","69"
"129","Malawi","MWI","CAF","true","129","4","71","70","69"
"130","Zimbabwe","ZIM","CAF","true","130","4","71","70","68"
"131","Nicaragua","NCA","CONCACAF","true","131","4","71","70","68"
"132","Guinea-Bissau","GNB","CAF","true","132","4","71","70","68"
"133","Kuwait","KUW","AFC","true","133","4","71","69","68"
"134","Congo","CGO","CAF","true","134","4","70","69","68"
"135","Philippines","PHI","AFC","true","135","4","70","69","68"
"136","Malaysia","MAS","AFC","true","136","4","70","69","68"
"137","Latvia","LVA","UEFA","true","137","4","70","69","67"
"138","India","IND","AFC","true","138","4","70","69","67"
"139","Central African Republic","CTA","CAF","true","139","4","70","68","67"
"140","Liberia","LBR","CAF","true","140","4","69","68","67"
"141","Turkmenistan","TKM","AFC","true","141","4","69","68","67"
"142","Burundi","BDI","CAF","true","142","4","69","68","66"
"143","Ethiopia","ETH","CAF","true","143","4","69","68","66"
"144","Dominican Republic","DOM","CONCACAF","true","144","4","69","67","66"
"145","Yemen","YEM","AFC","true","145","4","69","67","66"
"146","Lesotho","LES","CAF","true","146","4","69","67","66"
"147","Botswana","BOT","CAF","true","147","4","68","67","66"
"148","Singapore","SGP","AFC","true","148","4","68","67","66"
"149","Lithuania","LTU","UEFA","true","149","4","68","67","65"
"150","Guyana","GUY","CONCACAF","true","150","4","68","66","65"
"151","New Caledonia","NCL","OFC","true","151","5","68","66","65"
"152","St. Kitts and Nevis","SKN","CONCACAF","true","152","5","68","66","65"
"153","Solomon Islands","SOL","OFC","true","153","5","67","66","65"
"154","Puerto Rico","PUR","CONCACAF","true","154","5","67","66","64"
"155","Fiji","FIJ","OFC","true","155","5","67","66","64"
"156","Hong Kong","HKG","AFC","true","156","5","67","65","64"
"157","Tahiti","TAH","OFC","true","157","5","67","65","64"
"158","Myanmar","MYA","AFC","true","158","5","67","65","64"
"159","Moldova","MDA","UEFA","true","159","5","66","65","64"
"160","Vanuatu","VAN","OFC","true","160","5","66","65","64"
"161","Malta","MLT","UEFA","true","161","5","66","65","63"
"162","Antigua and Barbuda","ATG","CONCACAF","true","162","5","66","64","63"
"163","Grenada","GRN","CONCACAF","true","163","5","66","64","63"
"164","Cuba","CUB","CONCACAF","true","164","5","66","64","63"
"165","Eswatini","SWZ","CAF","true","165","5","65","64","63"
"166","St. Lucia","LCA","CONCACAF","true","166","5","65","64","62"
"167","Bermuda","BER","CONCACAF","true","167","5","65","64","62"
"168","Papua New Guinea","PNG","OFC","true","168","5","65","63","62"
"169","South Sudan","SSD","CAF","true","169","5","65","63","62"
"170","St. Vincent / Grenadines","VIN","CONCACAF","true","170","5","65","63","62"
"171","Afghanistan","AFG","AFC","true","171","5","64","63","62"
"172","Andorra","AND","UEFA","true","172","5","64","63","62"
"173","Maldives","MDV","AFC","true","173","5","64","63","61"
"174","Chinese Taipei","TPE","AFC","true","174","5","64","62","61"
"175","Cambodia","CAM","AFC","true","175","5","64","62","61"
"176","Montserrat","MSR","CONCACAF","true","176","5","64","62","61"
"177","Nepal","NEP","AFC","true","177","5","64","62","61"
"178","Mauritius","MRI","CAF","true","178","5","63","62","60"
"179","Barbados","BRB","CONCACAF","true","179","5","63","61","60"
"180","Belize","BLZ","CONCACAF","true","180","5","63","61","60"
"181","Bangladesh","BAN","AFC","true","181","5","63","61","60"
"182","Dominica","DMA","CONCACAF","true","182","5","63","61","60"
"183","Chad","CHA","CAF","true","183","5","63","61","60"
"184","Eritrea","ERI","CAF","true","184","5","62","61","60"
"185","Laos","LAO","AFC","true","185","5","62","60","59"
"186","Cook Islands","COK","OFC","true","186","5","62","60","59"
"187","Sri Lanka","SRI","AFC","true","187","5","62","60","59"
"188","Samoa","SAM","OFC","true","188","5","62","60","59"
"189","Aruba","ARU","CONCACAF","true","189","5","62","60","59"
"190","Mongolia","MNG","AFC","true","190","5","61","60","58"
"191","American Samoa","ASA","OFC","true","191","5","61","59","58"
"192","Bhutan","BHU","AFC","true","192","5","61","59","58"
"193","Macau","MAC","AFC","true","193","5","61","59","58"
"194","Brunei","BRU","AFC","true","194","5","61","59","58"
"195","São Tomé and Príncipe","STP","CAF","true","195","5","61","59","58"
"196","Djibouti","DJI","CAF","true","196","5","60","59","58"
"197","Cayman Islands","CAY","CONCACAF","true","197","5","60","58","57"
"198","Pakistan","PAK","AFC","true","198","5","60","58","57"
"199","Somalia","SOM","CAF","true","199","5","60","58","57"
"200","Tonga","TGA","OFC","true","200","5","60","58","57"
"201","Timor-Leste","TLS","AFC","true","201","5","60","58","57"
"202","Gibraltar","GIB","UEFA","true","202","5","59","58","56"
"203","Guam","GUM","AFC","true","203","5","59","57","56"
"204","Seychelles","SEY","CAF","true","204","5","59","57","56"
"205","Turks and Caicos Islands","TCA","CONCACAF","true","205","5","59","57","56"
"206","Liechtenstein","LIE","UEFA","true","206","5","59","57","56"
"207","Bahamas","BAH","CONCACAF","true","207","5","59","57","56"
"208","US Virgin Islands","VIR","CONCACAF","true","208","5","58","57","56"
"209","British Virgin Islands","VGB","CONCACAF","true","209","5","58","56","55"
"210","Anguilla","AIA","CONCACAF","true","210","5","58","56","55"
"211","San Marino","SMR","UEFA","true","211","5","58","56","55"
